W(i - 2)	T(i - 2)	W(i - 1)	T(i - 1)	W(i + 1)	T(i + 1)	W(i + 2)	T(i + 2)
marched	VBN	through	IN	to	TO	protest	NN
war	NN	in	IN	and	CC	demand	NN
rally	NN	in	IN	Park	NN	.	.
in	IN	Hyde	NN	.	.	*	END
conference	NN	of	IN	's	POS	ruling	NN
resort	NN	of	IN	.	.	*	END
divided	VBN	over	IN	's	POS	participation	NN
in	IN	the	DT	conflict	NN	and	CC
*	START	The	DT	march	NN	came	VBD
,	,	including	VBG	,	,	Paris	NNP
Rome	NN	,	,	,	,	and	CC
,	,	and	CC	.	.	*	END
talks	NNS	in	IN	Wednesday	NNP	on	IN
respond	NN	to	TO	's	POS	resumption	NN
at	IN	its	PRP$	nuclear	JJ	plant	NN
,	,	with	IN	backing	NN	,	,
to	TO	refer	NN	to	TO	the	DT
it	PRP	finds	NNS	has	VBZ	violated	VBN
at	IN	persuading	VBG	to	TO	end	NN
boat	NN	in	IN	's	POS	southern	JJ
bulk	NN	of	IN	's	POS	2.3	CD
used	VBN	by	IN	's	POS	interim	NN
palace	NN	in	IN	when	WRB	the	DT
elsewhere	RB	in	IN	Wednesday	NNP	.	.
northern	JJ	city	NN	for	IN	a	DT
Qaida	NN	in	IN	fighters	NNS	.	.
in	IN	the	DT	Arab	NN	and	CC
the	DT	Sunni	NN	and	CC	Kurdish	VB
*	*	*	START	commanders	NNS	have	VB
Qaida	NN	in	IN	fighters	NNS	have	VB
them	PRP	in	IN	province	NN	and	CC
province	NN	and	CC	to	TO	other	JJ
north	NN	of	IN	and	CC	has	VBZ
violence	NN	,	,	officials	NNS	said	VBD
patrol	NN	in	IN	Sunday	NNP	.	.
Friday	NNP	in	IN	.	.	*	END
lawmakers	NNS	in	IN	's	POS	North	NN
Pakistan	NN	's	POS	West	NNP	Frontier	NN
's	POS	North	NN	Frontier	NN	Province	NN
North	NN	West	NNP	Province	NN	have	VB
West	NNP	Frontier	NN	have	VB	pushed	VBN
in	IN	neighboring	VBG	.	.	*	END
arrested	VBN	in	IN	for	IN	breaching	NN
