W(i - 2)	T(i - 2)	W(i - 1)	T(i - 1)	W(i + 1)	T(i + 1)	W(i + 2)	T(i + 2)
from	IN	the	DT	of	IN	Parliament	NN
the	DT	Houses	NNS	Parliament	NN	to	TO
Houses	NNS	of	IN	to	TO	a	DT
's	POS	ruling	NN	Party	NNP	in	IN
ruling	NN	Labor	NN	in	IN	the	DT
*	START	The	DT	Atomic	NNP	Energy	NNP
The	DT	International	NNP	Energy	NNP	Agency	NN
International	NNP	Atomic	NNP	Agency	NN	is	VBZ
Atomic	NNP	Energy	NNP	is	VBZ	to	TO
after	IN	an	DT	surveillance	NN	system	NN
*	START	The	DT	Union	NNP	,	,
The	DT	European	JJ	,	,	with	IN
to	TO	the	DT	Security	NN	Council	NN
the	DT	U.N.	NNP	Council	NN	,	,
U.N.	NNP	Security	NN	,	,	which	WDT
southern	JJ	oil-rich	JJ	region	NN	.	.
German	JJ	firm	NN	Berger	NN	,	,
firm	NN	Bilfinger	NN	,	,	Thomas	NNP
sailed	VBN	from	IN	State	NN	to	TO
from	IN	Delta	NNP	to	TO	Bayelsa	NN
State	NN	to	TO	State	NN	to	TO
to	TO	Bayelsa	NN	to	TO	inspect	NN
owned	VBN	by	IN	Shell	NN	.	.
by	IN	Royal-Dutch	NN	.	.	*	END
sub-contractor	NN	for	IN	.	.	*	END
in	IN	the	DT	Delta	NNP	to	TO
the	DT	Niger	NN	to	TO	demand	NN
for	IN	the	DT	said	VBD	the	DT
*	START	The	DT	Brotherhood	NN	has	VBZ
The	DT	Muslim	NN	has	VBZ	tripled	VBD
*	START	The	DT	Brotherhood	NN	is	VBZ
The	DT	Muslim	NN	is	VBZ	banned	VBN
,	,	the	DT	Majlis-e-Amal	JJ	,	,
the	DT	Mutahida	NN	,	,	dominates	NNS
the	DT	former	JJ	in	IN	neighboring	VBG
said	VBD	the	DT	Home	NN	Office	NN
the	DT	British	JJ	Office	NN	sought	NN
British	JJ	Home	NN	sought	NN	an	DT
*	START	A	DT	Office	NN	spokesman	NN
A	DT	Home	NN	spokesman	NN	told	NN
told	NN	the	DT	Press	NN	that	IN
the	DT	Associated	VBN	that	IN	if	IN
*	START	The	DT	also	RB	reports	NNS
in	IN	the	DT	Wam	NN	area	NN
the	DT	Kani	NNP	area	NN	.	.
*	*	*	START	Army	NN	officials	NNS
*	START	U.S.	NNP	officials	NNS	said	VBD
with	IN	the	DT	company	NN	to	TO
*	*	*	START	has	VBZ	been	VBN
Critics	NNS	of	IN	include	NN	auditors	NNS
from	IN	the	DT	Pacific	NNP	Economic	JJ
the	DT	Asia	NN	Economic	JJ	Cooperation	NN
Asia	NN	Pacific	NNP	Cooperation	NN	Business	NN
Pacific	NNP	Economic	JJ	Business	NN	Advisory	NN
Economic	JJ	Cooperation	NN	Advisory	NN	Council	NN
Cooperation	NN	Business	NN	Council	NN	are	VBP
Business	NN	Advisory	NN	are	VBP	holding	VBG
report	NN	for	IN	leaders	NNS	who	WP
*	*	*	START	's	POS	Nancy-Amelia	JJ
VOA	NN	's	POS	Collins	NNS	reports	NNS
's	POS	Nancy-Amelia	JJ	reports	NNS	from	IN
of	IN	the	DT	Business	NN	Advisory	NN
the	DT	APEC	NNP	Advisory	NN	Council	NN
APEC	NNP	Business	NN	Council	NN	,	,
Business	NN	Advisory	NN	,	,	known	VBN
known	VBN	as	IN	.	.	*	END
of	IN	the	DT	Trade	NNP	Commission	NNP
the	DT	Australian	JJ	Commission	NNP	,	,
Australian	JJ	Trade	NNP	,	,	says	VBZ
,	,	says	VBZ	plays	NNS	an	DT
think	NN	actually	RB	has	VBZ	played	NNS
*	*	*	START	comprises	NNS	up	RB
make	VB	up	RB	.	.	*	END
perspective	NN	within	IN	.	.	*	END
*	*	*	START	says	VBZ	there	RB
of	IN	the	DT	Trade	NNP	Commission	NNP
the	DT	Australian	JJ	Commission	NNP	,	,
Australian	JJ	Trade	NNP	,	,	says	VBZ
says	VBZ	the	DT	report	NN	will	MD
*	*	*	START	is	VBZ	the	DT
of	IN	the	DT	economies	NNS	.	.
at	IN	the	DT	leaders	NNS	meeting	NN
from	IN	the	DT	Nations	NNS	and	CC
the	DT	United	NNP	and	CC	African	JJ
,	,	a	DT	spokesman	NN	deplored	VBN
Russia	NN	's	POS	news	NN	agency	NN
for	IN	the	DT	strain	NN	of	IN
