W(i - 2)	T(i - 2)	W(i - 1)	T(i - 1)	W(i + 1)	T(i + 1)	W(i + 2)	T(i + 2)
as	IN	'	''	Number	NNP	One	CD
new	JJ	President	NNP	Ahmadinejad	NN	said	VBD
President	NNP	Mahmoud	NN	said	VBD	Tuesday	NNP
Berger	NN	,	,	Horbach	NN	,	,
,	,	Thomas	NNP	,	,	said	VBD
interim	NN	President	NNP	Yusuf	NN	Ahmad	NN
President	NNP	Abdullahi	NN	Ahmad	NN	.	.
Abdullahi	NN	Yusuf	NN	.	.	*	END
Tuesday	NNP	that	IN	Khayam	NNP	was	VBD
that	IN	Omar	NN	was	VBD	arrested	VBN
investigation	NN	of	IN	's	POS	behavior	NN
also	RB	reports	NNS	has	VBZ	been	VBN
tribal	NN	leader	NN	Faridullah	NN	Khan	NNP
leader	NN	Malik	NN	Khan	NNP	was	VBD
Malik	NN	Faridullah	NN	was	VBD	traveling	VBG
scientist	NN	,	,	Qadeer	NN	Khan	NNP
,	,	Abdul	NN	Khan	NNP	,	,
Abdul	NN	Qadeer	NN	,	,	available	JJ
*	*	*	START	Harcourt	NN	,	,
*	START	Tim	NN	,	,	the	DT
,	,	'	''	said	VBD	.	.
,	,	'	''	said	VBD	.	.
Foreign	NN	Minister	NNP	Osman	NN	Ismail	NN
Minister	NNP	Mustafa	NN	Ismail	NN	says	VBZ
Mustafa	NN	Osman	NN	says	VBZ	Sudanese	JJ
*	START	Mr.	NNP	announced	VBD	the	DT
extremist	NN	bombmaker	NN	bin	NN	Husin	NN
bombmaker	NN	Azahari	NNP	Husin	NN	.	.
Azahari	NNP	bin	NN	.	.	*	END
authorities	NNS	blame	NN	bin	NN	Husin	NN
blame	NN	Azahari	NNP	Husin	NN	for	IN
Azahari	NNP	bin	NN	for	IN	orchestrating	VBG
,	,	Sister	NN	Sgorbati	NN	,	,
Sister	NN	Leonella	NN	,	,	after	IN
's	POS	northern	JJ	Binh	NN	province	NN
northern	JJ	Ninh	NN	province	NN	died	VBD
Palestinian	JJ	negotiator	NN	Qureia	NN	says	VBZ
negotiator	NN	Ahmed	NNP	says	VBZ	Israeli	JJ
reporters	NNS	,	,	said	VBD	the	DT
Prime	NNP	Minister	NNP	Olmert	NN	and	CC
Minister	NNP	Ehud	NN	and	CC	Palestinian	JJ
Palestinian	JJ	President	NNP	Abbas	NN	resumed	VBD
President	NNP	Mahmoud	NN	resumed	VBD	U.S.-brokered	JJ
U.S.	NNP	President	NNP	Bush	NNP	leaves	NNS
President	NNP	George	NNP	leaves	NNS	office	NN
*	START	But	CC	said	VBD	Wednesday	NNP
before	IN	Mr.	NNP	leaves	NNS	office	NN
Major	JJ	General	NNP	Adam	NN	-	:
General	NNP	Udi	NN	-	:	the	DT
media	NNS	say	VB	had	VBD	several	JJ
Lieutenant	NN	General	NNP	Halutz	NN	,	,
General	NNP	Dan	NNP	,	,	over	IN
Ministry	NNP	spokeswoman	NN	Aslam	NN	declined	VBD
spokeswoman	NN	Tasnim	NN	declined	VBD	to	TO
*	START	Amy	NN	Narrates	NNS	.	.
Amy	NN	Katz	NNP	.	.	*	END
Cuban	NN	President	NNP	Castro	NNP	.	.
President	NNP	Fidel	NN	.	.	*	END
Panamanian	JJ	President	NNP	Torrijos	NN	and	CC
President	NNP	Martin	NN	and	CC	Cuban	NN
Vice	NNP	President	NNP	Lage	NN	.	.
President	NNP	Carlos	NN	.	.	*	END
Panamanian	JJ	President	NNP	Moscoso	NN	,	,
President	NNP	Mireya	NN	,	,	in	IN
kill	NN	Mr.	NNP	during	IN	the	DT
Prime	NNP	Minister	NNP	Haniyeh	NN	said	VBD
Minister	NNP	Ismail	NN	said	VBD	his	PRP$
of	IN	President	NNP	Abbas	NN	.	.
President	NNP	Mahmoud	NN	.	.	*	END
Mexican	JJ	President	NNP	Calderon	NNP	said	VBD
President	NNP	Felipe	NN	said	VBD	Chrysler	NNP
*	START	Mr.	NNP	said	VBD	Mexico	NNP
TRUE	NN	:	:	Ritchie	NN	is	VBZ
:	:	Nicole	NN	is	VBZ	pregnant	NN
News	NNS	interviewer	NN	Sawyer	NN	,	,
interviewer	NN	Dianne	NN	,	,	the	DT
boyfriend	NN	,	,	Madden	NNP	of	IN
,	,	Joel	NN	of	IN	the	DT
*	*	*	START	also	RB	spoke	NN
.	.	Senator	NN	Warner	NNP	of	IN
Senator	NN	John	NNP	of	IN	the	DT
criticized	VBN	President	NNP	's	POS	handling	VBG
on	IN	Mr.	NNP	earlier	RBR	this	DT
Interior	NNP	Minister	NNP	Saengprathum	NN	says	VBZ
Minister	NNP	Sutham	NN	says	VBZ	the	DT
Prime	NNP	Minister	NNP	Shinawatra	NNP	has	VBZ
Minister	NNP	Thaksin	NN	has	VBZ	said	VBD
State	NN	Councilor	NN	Jiaxuan	NN	told	NN
Councilor	NN	Tang	NN	told	NN	the	DT
Minister	NNP	,	,	Machimura	NN	,	,
,	,	Nobutaka	NN	,	,	arrives	NNS
counterpart	NN	,	,	Zhaoxing	VBG	,	,
,	,	Li	NN	,	,	to	TO
Prime	NNP	Minister	NNP	Blair	NN	said	VBD
Minister	NNP	Tony	NN	said	VBD	London	NNP
*	*	*	START	Beattie	NNP	reports	NNS
*	START	Sam	NNP	reports	NNS	from	IN
reports	NNS	from	IN	Jing	VBG	's	POS
from	IN	Jing	VBG	's	POS	home	NN
*	*	*	START	Sivaram	NN	was	VBD
*	START	Dharmeratnam	NNP	was	VBD	a	DT
*	START	Mr.	NNP	's	POS	Web	NN
*	START	Mr.	NNP	,	,	who	WP
Iraqi	NN	leader	NN	Hussein	NNP	.	.
leader	NN	Saddam	NN	.	.	*	END
*	*	*	START	Hussein	NNP	was	VBD
*	START	Saddam	NN	was	VBD	arraigned	VBN
program	NN	says	VBZ	Hussein	NNP	illegally	RB
says	VBZ	Saddam	NN	illegally	RB	obtained	VBN
Reserve	NNP	Chairman	NNP	Volcker	NN	says	VBZ
Chairman	NNP	Paul	NNP	says	VBZ	the	DT
,	,	Mr.	NNP	said	VBD	there	RB
parliament	NN	member	NN	Akmatbayev	NN	,	,
member	NN	Tynychbek	NN	,	,	have	VB
Interior	NNP	Minister	NNP	Sutalinov	NN	is	VBZ
Minister	NNP	Murat	NN	is	VBZ	at	IN
*	START	Mr.	NNP	was	VBD	involved	VBN
Trade	NNP	Minister	NNP	Idrac	NN	,	,
Minister	NNP	Anne-Marie	NN	,	,	called	VBN
Venezuelan	NN	President	NNP	Chavez	NN	has	VBZ
President	NNP	Hugo	NNP	has	VBZ	denounced	VBD
*	START	Mr.	NNP	reacted	VBN	sharply	RB
between	IN	Mr.	NNP	and	CC	Colombian	JJ
Colombian	JJ	President	NNP	Uribe	NN	.	.
President	NNP	Alvaro	NN	.	.	*	END
Defense	NN	Minister	NNP	Manuel	NN	Santos	NN
Minister	NNP	Juan	NN	Santos	NN	said	VBD
Juan	NN	Manuel	NN	said	VBD	he	PRP
,	,	Mr.	NNP	called	VBN	on	IN
on	IN	President	NNP	to	TO	put	NN
Ministry	NNP	spokesman	NN	Jianchao	NN	accused	VBN
spokesman	NN	Liu	NN	accused	VBN	the	DT
*	START	President	NNP	has	VBZ	issued	VBN
,	,	Mr.	NNP	has	VBZ	granted	VBN
rebel	NN	leader	NN	Kony	NN	is	VBZ
leader	NN	Joseph	NNP	is	VBZ	granted	VBN
*	*	*	START	is	VBZ	one	CD
tennis	NN	player	NN	Federer	NN	has	VBZ
player	NN	Roger	NN	has	VBZ	been	VBN
by	IN	German	JJ	Haas	NN	in	IN
German	JJ	Tommy	NN	in	IN	the	DT
41st	CD	ranked	NNS	fended	VBN	off	IN
*	*	*	START	said	VBD	he	PRP
opposition	NN	leader	NN	Besigye	NN	has	VBZ
leader	NN	Kizza	NNP	has	VBZ	been	VBN
of	IN	Dr.	NNP	's	POS	supporters	NNS
detained	VBN	Dr.	NNP	since	IN	November	NNP
against	IN	President	NNP	Museveni	NN	in	IN
President	NNP	Yoweri	NN	in	IN	next	JJ
charged	VBN	Dr.	NNP	with	IN	terrorism	NN
Judge	NNP	,	,	Bosco	NNP	Katutsi	NNP
,	,	John	NNP	Katutsi	NNP	,	,
John	NNP	Bosco	NNP	,	,	said	VBD
*	START	Dr.	NNP	still	RB	faces	VBZ
U.S.	NNP	President	NNP	Obama	NN	says	VBZ
President	NNP	Barack	NN	says	VBZ	improvements	NNS
*	START	Mr.	NNP	made	VBN	his	PRP$
woman	NN	,	,	Benjamin	NNP	,	,
,	,	Regina	NNP	,	,	to	TO
*	START	Mr.	NNP	has	VBZ	vowed	NN
Bank	NNP	President	NNP	Wolfowitz	NN	said	VBD
President	NNP	Paul	NNP	said	VBD	two-thirds	NNS
Palestinian	JJ	President	NNP	Abbas	NN	in	IN
President	NNP	Mahmoud	NN	in	IN	Ramallah	NN
after	IN	Mr.	NNP	declared	VBN	a	DT
Prime	NNP	Minister	NNP	Sharon	NN	in	IN
Minister	NNP	Ariel	NN	in	IN	Egypt	NN
Indonesian	JJ	President	NNP	Bambang	NNP	Yudhoyono	NN
President	NNP	Susilo	NN	Yudhoyono	NN	is	VBZ
Susilo	NN	Bambang	NNP	is	VBZ	scheduled	VBN
Prosecutors	NNS	say	VB	Ramda	NN	helped	VBD
say	VB	Rachid	NN	helped	VBD	fund	NN
convicted	VBN	,	,	could	MD	get	VB
Police	NNS	say	VB	operated	VBN	from	IN
police	NNS	arrested	VBN	in	IN	1995	CD
trial	NN	,	,	is	VBZ	facing	VBG
*	START	Yu	NN	,	,	23	CD
Islamic	NNP	cleric	NN	Bakri	NN	Mohammed	VBN
cleric	NN	Omar	NN	Mohammed	VBN	has	VBZ
Omar	NN	Bakri	NN	has	VBZ	called	VBN
,	,	Mr.	NNP	says	VBZ	Muslims	NNS
where	WRB	Mr.	NNP	lives	NNS	after	IN
*	START	Mr.	NNP	triggered	VBN	British	JJ
,	,	Mr.	NNP	says	VBZ	the	DT
Staff	NN	Chairman	NNP	Mullen	NNP	said	VBD
Chairman	NNP	Mike	NN	said	VBD	Sunday	NNP
But	CC	Admiral	JJ	said	VBD	he	PRP
Brigadier	NNP	General	NNP	Vahidi	NN	,	,
General	NNP	Ahmad	NN	,	,	said	VBD
*	START	Admiral	JJ	said	VBD	he	PRP
*	START	President	NNP	Saakashvili	NN	told	NN
President	NNP	Mikhail	NN	told	NN	cabinet	NN
*	START	President	NNP	says	VBZ	the	DT
President	NNP	,	,	Fujimori	NNS	,	,
,	,	Alberto	NN	,	,	has	VBZ
,	,	Mr.	NNP	had	VBD	his	PRP$
*	START	Mr.	NNP	,	,	Peru	NN
Prime	NNP	Minister	NNP	Ahmad	NN	Badawi	NN
Minister	NNP	Abdullah	NN	Badawi	NN	told	NN
Abdullah	NN	Ahmad	NN	told	NN	an	DT
official	NN	(	(	al-Rubaei	NN	)	)
(	(	Wael	NN	)	)	and	CC
Wael	NN	al-Rubaei	NN	and	CC	his	PRP$
be	VB	President	NNP	Ahmadinejad	NN	's	POS
President	NNP	Mahmoud	NN	's	POS	signature	NN
that	IN	President	NNP	Mwanawasa	NN	has	VBZ
President	NNP	Levy	NN	has	VBZ	died	VBD
Information	NN	Minister	NNP	Mulongoti	NN	made	VBN
Minister	NNP	Mike	NN	made	VBN	a	DT
said	VBD	President	NNP	remains	NNS	in	IN
*	START	Mr.	NNP	was	VBD	flown	NN
of	IN	Mr.	NNP	,	,	a	DT
Zimbabwean	JJ	President	NNP	Mugabe	NN	,	,
President	NNP	Robert	NNP	,	,	was	VBD
*	START	Mr.	NNP	is	VBZ	59	CD
U.S.	NNP	President	NNP	Obama	NN	has	VBZ
President	NNP	Barack	NN	has	VBZ	named	VBN
has	VBZ	named	VBN	Sperling	VBG	as	IN
named	VBN	Gene	NNP	as	IN	the	DT
